filename,zip_path,title,alt_text,caption,description
restwell-whitstable-painted-beach-huts.webp,assets/images/stock/opt/restwell-whitstable-painted-beach-huts.webp,Painted Whitstable beach huts,Row of brightly painted beach huts beside the sea near Whitstable,Colourful painted beach huts along the coast.,Brightly painted beach huts lined up beside the sea on the Whitstable coast.
restwell-whitstable-promenade-golden-hour.webp,assets/images/stock/opt/restwell-whitstable-promenade-golden-hour.webp,Whitstable promenade at golden hour,Whitstable promenade and beach huts in the golden evening light,The seafront promenade at golden hour.,Seafront path and beach huts along Whitstable promenade in warm evening light.
restwell-kent-nursery-hedgerow-path.webp,assets/images/stock/opt/restwell-kent-nursery-hedgerow-path.webp,Kent hedgerow path,Hedgerow-lined path through the Kent countryside,A peaceful rural path bordered by trees and fields.,Long rural path bordered by hedgerows and trees near the Kent coast.
restwell-whitstable-beach-huts-promenade-sunset.webp,assets/images/stock/opt/restwell-whitstable-beach-huts-promenade-sunset.webp,Whitstable beach huts at dusk,Beach huts and the promenade beside Whitstable sea at sunset,Sunset light across the Whitstable seafront.,Colourful beach huts and the seafront promenade beneath a glowing sunset sky.
restwell-whitstable-beach-hut-mural.webp,assets/images/stock/opt/restwell-whitstable-beach-hut-mural.webp,Whitstable beach hut mural,Painted mural on a beach hut beside the Whitstable sea,A colourful beach-hut mural on the seafront.,Close view of a painted blue beach-hut mural beside the Whitstable shoreline.
restwell-whitstable-beach-hut-gallery.webp,assets/images/stock/opt/restwell-whitstable-beach-hut-gallery.webp,Whitstable beach hut gallery,Beach hut gallery beside the sea near Whitstable,Seaside artwork displayed on a beach hut.,A beach hut displaying artwork beside the sea on the Whitstable coast.
restwell-kent-riverside-brick-house.webp,assets/images/stock/opt/restwell-kent-riverside-brick-house.webp,Brick house beside a Kent river,Brick house and gardens beside a riverside path in Kent,A red brick house beside a leafy river landscape.,Red brick house surrounded by greenery beside a riverside route in Kent.
restwell-whitstable-shingle-beach-sunset.webp,assets/images/stock/opt/restwell-whitstable-shingle-beach-sunset.webp,Whitstable shingle beach at sunset,Shingle beach and sea at sunset near Whitstable,Evening light over the open shingle coast.,Wide view across Whitstable shingle beach and the sea beneath a warm sunset.
restwell-whitstable-beach-sailboats-sunset.webp,assets/images/stock/opt/restwell-whitstable-beach-sailboats-sunset.webp,Sailboats off Whitstable at sunset,Sailboats moored off the Whitstable coast at sunset,Sailboats resting on the water in evening light.,Sailboats and masts silhouetted against the sunset along the Whitstable coast.
restwell-whitstable-coastal-pathway.webp,assets/images/stock/restwell-whitstable-coastal-pathway.webp,Whitstable coastal pathway,Coastal pathway near Whitstable with sea views,A coastal pathway near Whitstable with open sea views.,"Landscape image of a coastal pathway near Whitstable, useful for local area and gentle days out content."
cobbled-streets-in-rye-2026-03-09-09-20-18-utc.webp,assets/images/stock/cobbled-streets-in-rye-2026-03-09-09-20-18-utc.webp,Cobbled streets in Rye,Cobbled historic street in Rye with flowers and old buildings,Rye offers historic streets and characterful places for a day out.,"Image of a cobbled historic street in Rye with flowers, old buildings, and warm light."
whitstable-days-out.webp,assets/images/stock/whitstable-days-out.webp,Whitstable days out,Historic Whitstable street with shops and coastal character,"Whitstable has independent shops, historic streets, and coastal places to visit.","Street scene from Whitstable showing local buildings and independent shopfronts, suitable for days out content."
restwell-whitstable-sunset-pier.webp,assets/images/stock/restwell-whitstable-sunset-pier.webp,Whitstable sunset pier,Person standing on a Whitstable pier at sunset,Sunset over the water near Whitstable.,Coastal sunset image showing a person standing on a pier by the sea near Whitstable.
st-augustines-abbey-in-caterbury-city-england-2026-03-20-01-00-24-utc.webp,assets/images/stock/st-augustines-abbey-in-caterbury-city-england-2026-03-20-01-00-24-utc.webp,St Augustine's Abbey in Canterbury,St Augustine's Abbey ruins with Canterbury Cathedral in the background,St Augustine's Abbey and Canterbury make a historic day out from Whitstable.,Image of St Augustine's Abbey ruins in Canterbury with the cathedral visible beyond trees and grass.
russell-drive-whitstable.webp,assets/images/stock/russell-drive-whitstable.webp,Restwell exterior on Russell Drive,White accessible bungalow exterior on Russell Drive in Whitstable,"The Restwell bungalow exterior on Russell Drive, Whitstable.",Exterior image of the white bungalow and driveway at Restwell in Whitstable.
restwell-whitstable-beach-relaxation.webp,assets/images/stock/restwell-whitstable-beach-relaxation.webp,Relaxing on Whitstable beach,Person relaxing in a chair on Whitstable beach,A quiet moment by the sea on Whitstable beach.,Image of a person seated on the shingle beach by the sea near Whitstable.
restwell-whitstable-public-beach-path.webp,assets/images/stock/restwell-whitstable-public-beach-path.webp,Whitstable public beach path,Public beach path along the Whitstable coastline,A public coastal path follows the beach near Whitstable.,"Image of the public path beside the Whitstable coastline, useful for local area and access context."
restwell-whitstable-marina-sunset.webp,assets/images/stock/restwell-whitstable-marina-sunset.webp,Whitstable marina at sunset,Boats at Whitstable marina during sunset,Boats resting near Whitstable marina at sunset.,Landscape image of covered boats and marina views near Whitstable at sunset.
restwell-whitstable-drone-aerial-view.webp,assets/images/stock/restwell-whitstable-drone-aerial-view.webp,Aerial view near Whitstable,Aerial view of homes and green spaces near Whitstable,An aerial view of the neighbourhood and green spaces near Whitstable.,"Aerial image showing the local Whitstable area, nearby homes, roads, and green open spaces."
restwell-whitstable-coastline-panorama.webp,assets/images/stock/restwell-whitstable-coastline-panorama.webp,Whitstable coastline panorama,Panoramic view across the Whitstable and Tankerton coastline,A wide view across the Whitstable and Tankerton coastline.,"Panoramic coastal image for hero sections, showing the sea, beach, and Tankerton coastline."
scenery-of-the-traditional-historical-village-of-l-2026-03-20-02-02-01-utc.webp,assets/images/stock/scenery-of-the-traditional-historical-village-of-l-2026-03-20-02-02-01-utc.webp,Historic village lane,Traditional historic village lane with brick buildings and blue sky,A traditional village street for a slower local day out.,Landscape image of a traditional historic village lane with brick buildings and open blue sky.
row-of-colorful-beach-homes-2026-03-25-01-44-35-utc.webp,assets/images/stock/row-of-colorful-beach-homes-2026-03-25-01-44-35-utc.webp,Colourful beach huts,Row of colourful beach huts near Whitstable,Colourful beach huts are part of the local coastal character.,"Image of a row of colourful beach huts, useful for Whitstable coastal area content."
restwell-whitstable-rainbow-coast.webp,assets/images/stock/restwell-whitstable-rainbow-coast.webp,Rainbow over Whitstable coastline,Rainbow over the Whitstable coastline near Tankerton,A rainbow over the Whitstable and Tankerton coastline.,Wide coastal image used as a lightweight poster fallback for the Restwell homepage hero video.
restwell-whitstable-coastal-walk.webp,assets/images/stock/restwell-whitstable-coastal-walk.webp,Whitstable coastal walk,People walking along the coastal path near Whitstable,The coastal path offers sea views near Whitstable and Tankerton.,Landscape image of people walking on a coastal route near Whitstable.
KT-1-LS.webp,assets/images/bungalow/opt/KT-1-LS.webp,Accessible kitchen,Accessible kitchen with wheel-under worktop at Restwell,,Accessible kitchen with wheel-under worktop at Restwell. Useful for Restwell accessible holiday information.
GRDEN-2-LS.webp,assets/images/bungalow/opt/GRDEN-2-LS.webp,Restwell garden seating,Outdoor seating on the level garden patio at Restwell,,Outdoor seating on the level garden patio at Restwell. Useful for Restwell accessible holiday information.
conservatory-patio-doors.webp,assets/images/bungalow/opt/conservatory-patio-doors.webp,Conservatory patio doors source image,Patio doors opening from the conservatory toward the garden,Source image of the conservatory patio doors.,High-resolution source image showing patio doors from the conservatory toward the garden.
LR-RNR-LS.webp,assets/images/bungalow/opt/LR-RNR-LS.webp,Rise-and-recline chair,Rise-and-recline chair in the Restwell living room,,Rise-and-recline chair in the Restwell living room. Useful for Restwell accessible holiday information.
entrance.webp,assets/images/bungalow/opt/entrance.webp,Restwell entrance hallway,Entrance hallway at Restwell with level access toward patio doors,A clear entrance route helps guests move through the property more easily.,Portrait image showing the Restwell entrance hallway with a view toward glazed patio doors and natural light.
PT-1-LS.webp,assets/images/bungalow/opt/PT-1-LS.webp,Level patio,Level patio and enclosed garden at the Restwell bungalow,,Level patio and enclosed garden at the Restwell bungalow. Useful for Restwell accessible holiday information.
WR-2-LS.webp,assets/images/bungalow/opt/WR-2-LS.webp,Wet room shower,Level-access wet room shower with grab rails at Restwell,,Level-access wet room shower with grab rails at Restwell. Useful for Restwell accessible holiday information.
BD1-2-LS.webp,assets/images/bungalow/opt/BD1-2-LS.webp,Second double bedroom,Second double bedroom at the Restwell accessible bungalow,,Second double bedroom at the Restwell accessible bungalow. Useful for Restwell accessible holiday information.
int-front-door.webp,assets/images/bungalow/opt/int-front-door.webp,Internal front door source image,Internal front door route at Restwell with clear hallway access,Source image of the internal front door route.,High-resolution source image showing the internal front door and hallway route at Restwell.
kitchen.webp,assets/images/bungalow/opt/kitchen.webp,Kitchen,Kitchen,,Image showing kitchen for Restwell accessible holiday and Whitstable area content.
BD1-1-LS.webp,assets/images/bungalow/opt/BD1-1-LS.webp,Accessible double bedroom,Accessible double bedroom with a ceiling track hoist at Restwell,,Accessible double bedroom with a ceiling track hoist at Restwell. Useful for Restwell accessible holiday information.
BD2-2-LS.webp,assets/images/bungalow/opt/BD2-2-LS.webp,Accessible bedroom with profiling bed,Accessible bedroom with profiling bed and ceiling track hoist at Restwell,,Accessible bedroom with profiling bed and ceiling track hoist at Restwell. Useful for Restwell accessible holiday information.
russell-drive-whitstable.webp,assets/images/bungalow/opt/russell-drive-whitstable.webp,Restwell exterior on Russell Drive,White accessible bungalow exterior on Russell Drive in Whitstable,"The Restwell bungalow exterior on Russell Drive, Whitstable.",Exterior image of the white bungalow and driveway at Restwell in Whitstable.
int-conservatory-doors.webp,assets/images/bungalow/opt/int-conservatory-doors.webp,Internal conservatory doors source image,Internal doors opening from the home into the conservatory,Source image of the internal conservatory doors.,High-resolution source image of the internal doorway between the property and conservatory.
EX-1-LS.webp,assets/images/bungalow/opt/EX-1-LS.webp,Restwell bungalow exterior,White accessible holiday bungalow exterior in Whitstable,,White accessible holiday bungalow exterior in Whitstable. Useful for Restwell accessible holiday information.
H-1-LS.webp,assets/images/bungalow/opt/H-1-LS.webp,Ceiling track hoist detail,Ceiling track hoist installed in the Restwell bedroom,,Ceiling track hoist installed in the Restwell bedroom. Useful for Restwell accessible holiday information.
WR-1-LS.webp,assets/images/bungalow/opt/WR-1-LS.webp,Accessible wet room,Accessible wet room with shower chair and grab rails at Restwell,,Accessible wet room with shower chair and grab rails at Restwell. Useful for Restwell accessible holiday information.
wet-room-shower.webp,assets/images/bungalow/opt/wet-room-shower.webp,Wet room shower,Wet room shower,,Image showing wet room shower for Restwell accessible holiday and Whitstable area content.
WHIT-SEAFRONT-2-LS.webp,assets/images/bungalow/opt/WHIT-SEAFRONT-2-LS.webp,Tankerton beach,Tankerton beach and colourful boats near Whitstable,,Tankerton beach and colourful boats near Whitstable. Useful for Restwell accessible holiday information.
ext-patio-door.webp,assets/images/bungalow/opt/ext-patio-door.webp,External patio door source image,External patio doors leading from Restwell into the garden,Source image of the external patio doors.,High-resolution source image showing the external patio doors and garden threshold.
BD2-3-LS.webp,assets/images/bungalow/opt/BD2-3-LS.webp,Accessible bedroom with hoist,Accessible bedroom with ceiling track and mobile hoist at Restwell,,Accessible bedroom with ceiling track and mobile hoist at Restwell. Useful for Restwell accessible holiday information.
WHIT-SEAFRONT-1-LS.webp,assets/images/bungalow/opt/WHIT-SEAFRONT-1-LS.webp,Whitstable seafront promenade,Accessible coastal promenade near Whitstable and Tankerton,,Accessible coastal promenade near Whitstable and Tankerton. Useful for Restwell accessible holiday information.
SB-3-LS.webp,assets/images/bungalow/opt/SB-3-LS.webp,Sofa bed sleeping space,Conservatory sofa bed prepared as a fifth sleeping space,,Conservatory sofa bed prepared as a fifth sleeping space. Useful for Restwell accessible holiday information.
LR-1-LS.webp,assets/images/bungalow/opt/LR-1-LS.webp,Restwell living room,Open-plan living room at the accessible Restwell bungalow,,Open-plan living room at the accessible Restwell bungalow. Useful for Restwell accessible holiday information.
kitchen-portrait-view.webp,assets/images/bungalow/opt/kitchen-portrait-view.webp,Accessible kitchen source image,"Kitchen at Restwell with white cupboards, oven, and worktop space",Source image of the Restwell kitchen.,High-resolution portrait source image of the Restwell kitchen.
RAR-2-LS.webp,assets/images/bungalow/opt/RAR-2-LS.webp,Rise-and-recline chair detail,Rise-and-recline chair with transfer space at Restwell,,Rise-and-recline chair with transfer space at Restwell. Useful for Restwell accessible holiday information.
BD2-6-LS.webp,assets/images/bungalow/opt/BD2-6-LS.webp,Ceiling track hoist,Ceiling track hoist over the accessible bedroom bed at Restwell,,Ceiling track hoist over the accessible bedroom bed at Restwell. Useful for Restwell accessible holiday information.
FD-1-LS.webp,assets/images/bungalow/opt/FD-1-LS.webp,Step-free front entrance,Step-free front entrance to the Restwell bungalow,,Step-free front entrance to the Restwell bungalow. Useful for Restwell accessible holiday information.
WR-3-LS.webp,assets/images/bungalow/opt/WR-3-LS.webp,Accessible bathroom facilities,"Accessible bathroom with toilet, grab rails, and clear floor space",,"Accessible bathroom with toilet, grab rails, and clear floor space. Useful for Restwell accessible holiday information."
GRDEN-1-LS.webp,assets/images/bungalow/opt/GRDEN-1-LS.webp,Level patio and garden,Level patio and enclosed garden at Restwell Whitstable,,Level patio and enclosed garden at Restwell Whitstable. Useful for Restwell accessible holiday information.
accessible-holiday-whitstable.webp,assets/images/bungalow/opt/accessible-holiday-whitstable.webp,Accessible holiday bungalow in Whitstable,Front exterior of the accessible holiday bungalow in Whitstable,Restwell is an accessible holiday bungalow near Whitstable and Tankerton.,"Exterior image of the Restwell accessible holiday property in Whitstable, showing the front of the bungalow and driveway area."
EQU-2-LS.webp,assets/images/bungalow/opt/EQU-2-LS.webp,Oxford Midi hoist,Oxford Midi mobile hoist at the Restwell accessible bungalow,,Oxford Midi mobile hoist at the Restwell accessible bungalow. Useful for Restwell accessible holiday information.
conservatory-doors.webp,assets/images/bungalow/opt/conservatory-doors.webp,Conservatory doors source image,Wide conservatory doors opening into the living space at Restwell,Source image of the conservatory doors.,High-resolution source image of wide doors connecting the conservatory and living space.
adjustable-sink.webp,assets/images/bungalow/opt/adjustable-sink.webp,Adjustable bathroom sink source image,Accessible bathroom sink with adjustable height support,Source image of the adjustable bathroom sink.,High-resolution source image showing the adapted bathroom sink and support controls at Restwell.
LR-2-LS.webp,assets/images/bungalow/opt/LR-2-LS.webp,Open-plan living space,Open-plan living space with wide routes at Restwell,,Open-plan living space with wide routes at Restwell. Useful for Restwell accessible holiday information.
patio-1.webp,assets/images/bungalow/opt/patio-1.webp,Patio 1,Patio 1,,Image showing patio 1 for Restwell accessible holiday and Whitstable area content.
living-room-2.webp,assets/images/bungalow/opt/living-room-2.webp,Living room 2,Living room 2,,Image showing living room 2 for Restwell accessible holiday and Whitstable area content.
SB-1-LS.webp,assets/images/bungalow/opt/SB-1-LS.webp,Conservatory sofa bed,Conservatory sofa at the Restwell accessible bungalow,,Conservatory sofa at the Restwell accessible bungalow. Useful for Restwell accessible holiday information.
RAR-1-LS.webp,assets/images/bungalow/opt/RAR-1-LS.webp,Rise-and-recline armchair,Rise-and-recline armchair in the Restwell living room,,Rise-and-recline armchair in the Restwell living room. Useful for Restwell accessible holiday information.
exterior-ramp.webp,assets/images/bungalow/opt/exterior-ramp.webp,Exterior ramp,Exterior ramp,,Image showing exterior ramp for Restwell accessible holiday and Whitstable area content.
thor-carpentry.webp,assets/images/partners/opt/thor-carpentry.webp,Thor carpentry,Thor carpentry,,Image showing thor carpentry for Restwell accessible holiday and Whitstable area content.
wealden-rehab.webp,assets/images/partners/opt/wealden-rehab.webp,Wealden rehab,Wealden rehab,,Image showing wealden rehab for Restwell accessible holiday and Whitstable area content.
care-spaces.webp,assets/images/partners/opt/care-spaces.webp,Care spaces,Care spaces,,Image showing care spaces for Restwell accessible holiday and Whitstable area content.
continuity-of-care-services-long.webp,assets/images/partners/opt/continuity-of-care-services-long.webp,Continuity of care services long,Continuity of care services long,,Image showing continuity of care services long for Restwell accessible holiday and Whitstable area content.
continuity-training-academy.webp,assets/images/partners/opt/continuity-training-academy.webp,Continuity training academy,Continuity training academy,,Image showing continuity training academy for Restwell accessible holiday and Whitstable area content.
cqc-rating-good.webp,assets/images/partners/opt/cqc-rating-good.webp,Cqc rating good,Cqc rating good,,Image showing cqc rating good for Restwell accessible holiday and Whitstable area content.
continuity-of-care-services.webp,assets/images/partners/opt/continuity-of-care-services.webp,Continuity of care services,Continuity of care services,,Image showing continuity of care services for Restwell accessible holiday and Whitstable area content.
